RAM_GB,Storage_GB,Age_In_Months,Battery_Capacity_mAh,Camera_MP,Cover_Color_ID,IMEI_Last_Digit,Pincode_Last_Digit,Resale_Price_INR
4,128,40.7,3000,50,2,8,6,2500.0
12,128,48.0,5000,108,5,0,1,21630.0
8,32,15.8,3000,48,4,8,6,18959.0
6,64,37.9,4000,50,6,9,2,7052.0
4,64,34.7,3000,48,1,6,0,7598.0
4,64,50.1,4000,48,4,3,7,4072.0
3,128,54.5,4000,12,3,2,2,6136.0
8,128,1.7,3000,48,2,9,7,25100.0
6,128,40.8,4500,48,2,5,6,7875.0
8,256,4.1,3000,50,4,0,1,30534.0
3,256,33.4,6000,50,6,2,0,22878.0
12,256,18.0,6000,64,1,1,6,42153.0
8,512,19.1,4500,12,3,8,0,45077.0
4,32,21.8,4000,48,4,2,5,13660.0
4,64,37.7,4500,12,4,1,9,8165.0
4,32,20.7,6000,108,2,3,9,15418.0
4,128,44.2,4500,48,3,1,7,7068.0
6,256,24.9,3000,12,1,0,6,20955.0
6,64,5.0,4500,64,2,5,3,15646.0
4,512,47.2,4000,64,4,9,0,18116.0
6,32,17.9,3000,48,2,7,0,7648.0
4,512,26.5,5000,108,2,9,3,40551.0
4,64,41.4,6000,64,5,9,4,6924.0
4,64,20.6,6000,64,2,1,6,16135.0
6,128,4.3,4500,108,6,8,3,21807.0
8,64,23.1,3000,12,2,2,9,15741.0
4,64,56.7,5000,64,6,7,0,8190.0
6,64,38.9,3000,50,3,7,9,2739.0
6,256,40.6,6000,64,2,2,6,17948.0
3,128,38.3,3000,12,1,2,1,2500.0
6,64,12.7,5000,12,6,5,1,15571.0
4,128,25.7,4500,48,6,0,7,16040.0
3,256,45.3,4000,50,4,3,9,10174.0
12,64,7.0,3000,12,3,0,9,25764.0
12,128,17.4,4000,108,2,2,9,34964.0
8,64,17.3,6000,50,1,8,4,23859.0
4,64,26.5,4500,50,4,4,9,15987.0
3,128,58.8,4500,108,3,4,1,8791.0
6,64,5.0,3000,64,6,3,4,13843.0
6,128,31.6,4500,108,1,2,7,19685.0
4,256,11.6,3000,108,2,4,5,20599.0
6,64,58.3,3000,64,5,3,2,2635.0
3,128,7.7,4000,64,5,7,7,17075.0
12,64,24.8,4500,64,3,3,8,30704.0
4,512,44.5,3000,64,1,7,4,12285.0
6,128,42.6,4000,64,4,5,1,6137.0
4,256,25.9,5000,108,1,4,1,24013.0
6,128,21.4,4000,48,6,3,6,17467.0
6,32,24.5,4000,48,5,3,0,13888.0
4,128,16.6,3000,12,3,3,9,12157.0
12,512,13.1,6000,48,2,8,1,52872.0
8,128,29.5,6000,48,1,3,9,28971.0
12,256,16.8,6000,108,5,8,3,41114.0
8,256,18.0,4000,64,4,9,0,34158.0
6,64,39.7,3000,64,3,5,3,5798.0
12,64,58.1,4500,108,2,9,9,18502.0
3,128,36.6,4000,48,1,6,4,8168.0
4,128,5.5,4000,108,4,9,8,21772.0
3,256,5.5,3000,12,2,2,0,15234.0
4,512,57.1,5000,64,6,7,4,16241.0
4,64,18.5,4000,50,5,2,1,13768.0
4,64,6.4,5000,12,6,0,8,13829.0
8,256,36.3,5000,12,5,9,5,16808.0
4,64,37.8,6000,108,4,4,1,8739.0
4,256,39.3,3000,48,6,1,2,8828.0
6,128,16.8,5000,64,5,9,7,20959.0
4,128,1.9,3000,50,3,5,0,15121.0
8,32,57.9,6000,12,4,9,2,12999.0
3,128,15.8,3000,50,5,8,9,11373.0
12,128,40.9,4000,48,1,0,0,19263.0
8,128,42.7,5000,48,5,3,7,14070.0
4,64,37.0,3000,50,6,0,0,2500.0
3,256,19.5,4500,64,3,0,4,21600.0
8,256,17.0,3000,48,2,7,3,30561.0
8,64,36.3,5000,50,2,1,6,15030.0
8,32,52.1,6000,12,5,0,4,13861.0
8,32,56.9,6000,50,2,7,7,16191.0
3,128,7.2,5000,50,5,3,0,16575.0
4,128,10.1,4000,108,3,2,4,21835.0
4,128,56.7,4000,48,2,3,3,6656.0
8,64,44.5,6000,64,6,4,2,14359.0
6,64,53.1,6000,64,6,0,4,7958.0
4,128,13.0,5000,108,1,0,9,20960.0
3,128,35.7,4000,64,5,2,2,15351.0
4,512,42.4,6000,50,2,5,7,19171.0
4,64,41.1,4000,108,6,0,2,7303.0
8,128,25.1,6000,12,3,1,0,27255.0
6,128,1.9,3000,48,3,6,8,15463.0
8,128,35.4,4500,48,1,0,8,26966.0
6,256,15.9,3000,48,3,6,5,19330.0
4,128,27.6,6000,50,3,3,9,16883.0
8,512,57.5,4500,12,2,9,0,23929.0
8,64,24.5,4500,108,5,5,7,26894.0
6,64,50.5,6000,108,4,7,1,11812.0
8,256,12.1,6000,48,3,8,8,35831.0
6,128,40.7,4000,12,3,5,7,5692.0
6,64,58.6,6000,12,4,8,2,5649.0
6,32,7.0,5000,12,3,3,4,16387.0
3,32,1.5,6000,64,2,5,8,13745.0
4,256,26.6,5000,64,2,7,0,22635.0
3,64,6.5,6000,48,4,8,8,16903.0
6,64,45.2,4000,12,6,2,3,7271.0
4,64,55.0,5000,12,3,1,3,3373.0
6,64,26.6,3000,108,6,5,3,11369.0
12,32,16.3,5000,108,3,3,9,31406.0
4,128,26.6,4000,48,5,0,8,18189.0
6,32,43.7,5000,12,3,7,5,4437.0
8,256,1.5,6000,48,2,8,7,33934.0
4,64,35.8,6000,108,1,8,3,16781.0
3,128,37.2,4000,108,1,1,2,7989.0
4,256,38.6,4500,64,1,8,0,11888.0
4,128,15.3,6000,48,1,6,9,20370.0
12,128,43.1,3000,48,6,4,6,11960.0
8,64,6.4,4000,12,6,6,3,23600.0
6,64,12.8,5000,12,3,8,7,15191.0
8,128,52.8,5000,64,6,7,2,14754.0
8,512,44.6,3000,50,3,5,0,21814.0
4,128,1.8,6000,50,5,3,4,20771.0
8,128,15.7,4000,50,3,0,1,25503.0
6,256,13.6,3000,48,1,5,2,22636.0
8,128,17.0,6000,48,4,2,5,28757.0
8,32,15.6,4000,108,4,5,2,25948.0
4,128,4.7,5000,48,2,5,2,17943.0
4,512,28.1,4000,48,2,3,5,34605.0
4,64,44.2,4500,48,3,1,4,6728.0
6,128,36.8,4000,64,4,8,9,7643.0
8,64,40.7,4500,48,1,1,8,14080.0
8,128,5.8,4000,12,6,2,0,25682.0
3,32,57.1,4500,12,1,9,2,3407.0
6,128,50.5,5000,108,1,0,2,9753.0
6,256,48.5,6000,64,3,6,5,12843.0
4,64,49.6,4500,12,3,0,7,5051.0
4,128,56.0,4500,64,5,8,2,8219.0
4,256,33.1,5000,64,1,0,2,24293.0
12,512,12.8,4500,108,1,4,5,53281.0
4,64,37.4,3000,64,3,6,7,2500.0
6,64,44.8,5000,48,3,2,5,9129.0
8,64,44.5,3000,64,5,8,9,10558.0
4,512,31.8,5000,108,5,7,2,36745.0
